Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/12/2024,12/13/2024,ROVER.COM* PET SVCS.,Personal,Sale,-111.00,
12/11/2024,12/13/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-9.00,
12/12/2024,12/12/2024,THRIFT BOOKS GLOBAL  LLC,Shopping,Sale,-36.02,
12/11/2024,12/12/2024,FIESTA SHOWS,Entertainment,Sale,-29.24,
12/12/2024,12/12/2024,UNCOMMONGOODS,Shopping,Sale,-21.40,
12/10/2024,12/11/2024,BCF Etsy Uplift,Gifts & Donations,Sale,-0.96,
12/10/2024,12/11/2024,OLD NAVY ON-LINE,Shopping,Sale,-26.78,
12/10/2024,12/11/2024,ETSY  INC.,Shopping,Sale,-8.04,
12/10/2024,12/11/2024,ETSY  INC.,Shopping,Sale,-8.04,
12/10/2024,12/11/2024,BCF Etsy Uplift,Gifts & Donations,Sale,-0.96,
12/10/2024,12/11/2024,APPLE.COM/BILL,Shopping,Sale,-127.49,
12/10/2024,12/10/2024,BOMBAS LLC,Shopping,Sale,-20.14,
12/10/2024,12/10/2024,BCF Etsy Uplift,Gifts & Donations,Sale,-0.07,
12/10/2024,12/10/2024,ETSY  INC.,Shopping,Sale,-28.93,
12/10/2024,12/10/2024,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-6.00,
12/09/2024,12/10/2024,HANNAFORD #8005,Groceries,Sale,-75.56,
12/06/2024,12/09/2024,LONGRIDGE WINE &amp; SPIRITS,Food & Drink,Sale,-60.34,
12/08/2024,12/09/2024,SQ *PLYMOUTH BOOK PARTNER,Shopping,Sale,-44.62,
12/08/2024,12/09/2024,DAISIES,Shopping,Sale,-12.00,
12/07/2024,12/08/2024,GULF OIL 92038883,Gas,Sale,-24.00,
12/07/2024,12/08/2024,ETSY  INC.,Shopping,Sale,-10.04,
12/07/2024,12/08/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
12/06/2024,12/08/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-3.00,
12/06/2024,12/08/2024,THE MARKET,Groceries,Sale,-2.74,
12/06/2024,12/08/2024,WAL-MART #2336,Groceries,Sale,-78.34,
12/04/2024,12/06/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
12/05/2024,12/06/2024,NATURALCYCLES,Health & Wellness,Sale,-34.99,
12/05/2024,12/06/2024,JERSEY MIKES 16012,Food & Drink,Sale,-27.70,
12/04/2024,12/05/2024,EXXON ENERGY NORTH INC,Gas,Sale,-34.13,
12/05/2024,12/05/2024,SP ALLIE ROSE CO.,Shopping,Sale,-55.00,
12/01/2024,12/03/2024,OLD NAVY ON-LINE,Shopping,Return,48.48,
12/02/2024,12/03/2024,ROVER.COM* PET SVCS.,Personal,Sale,-5.00,
12/01/2024,12/03/2024,LOTUS NAILS AND SPA,Personal,Sale,-39.14,
12/01/2024,12/03/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-7.00,
12/01/2024,12/02/2024,WAL-MART #2336,Groceries,Sale,-84.04,
11/29/2024,12/01/2024,DUNKIN #353702 Q35,Food & Drink,Sale,-8.94,
11/29/2024,12/01/2024,APPLE STORE  #R017,Shopping,Sale,-52.92,
11/29/2024,12/01/2024,NEWBURY COMICS 31,Shopping,Sale,-196.51,
11/29/2024,12/01/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-15.00,
11/30/2024,12/01/2024,DUNKIN #336631 Q35,Food & Drink,Sale,-5.20,
11/29/2024,12/01/2024,BOSCOVS 70,Shopping,Sale,-7.48,
11/29/2024,12/01/2024,SP SKIMS,Shopping,Sale,-39.00,
11/29/2024,12/01/2024,APPLE STORE  #R017,Shopping,Sale,-841.32,
